#   name_b      |    RA_b      |    DEC_b     |     spec-id     |    name_f       |    RA_f      |    DEC_f     |    spec-id      |   zb   |   zf   | theta |  R_com   |  S/N  |   gUV   |   ib  |  J2Mb |  H2Mb |  K2Mb | JABb  |  HABb |  KABb |   if  |  J2Mf |  H2Mf |  K2Mf | JABf  | HABf  |  KABf |   tel_b     |        tel_f
 2QZJ0008-2900A | 00:08:52.710 | -29:00:44.10 |                 |  2QZJ0008-2901B | 00:08:57.730 | -29:01:26.90 |                 |  2.645 |  2.607 | 78.53 | 2357.297 | -1.00 |     32. |  0.00 |  0.00 |  0.00 |  0.00 | 18.49 | 18.53 | 18.42 |  0.00 |  0.00 |  0.00 |  0.00 | 19.24 | 19.25 | 18.99 | XSHOOTER,UVES | UVES
BOSSJ0009+0032A | 00:09:06.941 | +00:32:52.63 | 4218-0528-55479 | SDSSJ0008+0025B | 00:08:44.703 | +00:25:50.54 | 0686-0503-52519 |  2.674 |  2.120 | 537.9 | 14473.78 | -1.00 |      0. | 20.02 |  0.00 |  0.00 |  0.00 | 19.60 | 19.66 | 19.59 | 19.01 |  0.00 |  0.00 |  0.00 | 18.82 | 18.64 | 18.43 | SDSSBOSSKDEXDQSOZALLBOSS | SDSSBOSSKDEXDQSOZVHSVCV
BOSSJ0009+0032A | 00:09:06.941 | +00:32:52.63 | 4218-0528-55479 | SDSSJ0009+0024B | 00:09:12.183 | +00:24:13.32 | 1089-0324-52913 |  2.674 |  2.500 | 525.2 | 15433.39 | -1.00 |      2. | 20.02 |  0.00 |  0.00 |  0.00 | 19.60 | 19.66 | 19.59 | 18.23 |  0.00 |  0.00 |  0.00 | 17.79 | 17.74 | 17.36 | SDSSBOSSKDEXDQSOZALLBOSS | SDSSVHS
BOSSJ0009+0058A | 00:09:12.082 | +00:58:18.24 | 4217-0872-55478 | BOSSJ0009+0109B | 00:09:12.703 | +01:09:18.99 | 4217-0864-55478 |  2.701 |  2.464 | 660.8 | 19274.21 | -1.00 |      0. | 19.91 |  0.00 |  0.00 |  0.00 | 19.50 | 19.59 | 19.52 | 19.23 |  0.00 |  0.00 |  0.00 | 18.85 | 18.79 | 18.41 | SDSSBOSSKDEVHSALLBOSS | SDSSBOSSKDEXDQSOZVHSALLBOSS
BOSSJ0009+0058A | 00:09:12.082 | +00:58:18.24 | 4217-0872-55478 | BOSSJ0009+0056B | 00:09:20.020 | +00:56:18.44 | 4217-0874-55478 |  2.701 |  2.387 | 168.8 | 4844.947 | -1.00 |      3. | 19.91 |  0.00 |  0.00 |  0.00 | 19.50 | 19.59 | 19.52 | 20.17 |  0.00 |  0.00 |  0.00 | 19.82 | 19.74 | 19.35 | SDSSBOSSKDEVHSALLBOSS | SDSSBOSSKDEVHSVCVALLBOSS
SDSSJ0009+0024A | 00:09:12.183 | +00:24:13.32 | 1089-0324-52913 | SDSSJ0008+0025B | 00:08:44.703 | +00:25:50.54 | 0686-0503-52519 |  2.500 |  2.120 | 423.5 | 11393.72 | -1.00 |      1. | 18.23 |  0.00 |  0.00 |  0.00 | 17.79 | 17.74 | 17.36 | 19.01 |  0.00 |  0.00 |  0.00 | 18.82 | 18.64 | 18.43 | SDSSVHS | SDSSBOSSKDEXDQSOZVHSVCV
BOSSJ0009-0039A | 00:09:38.487 | -00:39:49.81 | 4218-0464-55479 | SDSSJ0010-0049B | 00:10:04.964 | -00:49:06.78 | 1490-0050-52994 |  2.250 |  1.985 | 684.0 | 17731.85 | -1.00 |      0. | 19.63 |  0.00 |  0.00 |  0.00 | 19.33 | 19.19 | 18.76 | 20.38 |  0.00 |  0.00 |  0.00 | 20.26 | 20.16 | 20.03 | SDSSBOSSKDEXDQSOZVCVALLBOSS | SDSSKDEXDQSOZ
BOSSJ0010-0956A | 00:10:15.148 | -09:56:23.26 | 7168-0128-56625 | BOSSJ0010-0957B | 00:10:34.615 | -09:57:23.80 | 7168-0096-56625 |  2.114 |  2.042 | 293.9 | 7743.899 | -1.00 |      3. | 19.81 |  0.00 |  0.00 |  0.00 | 19.63 | 19.45 | 19.26 | 18.99 |  0.00 |  0.00 |  0.00 | 18.83 | 18.72 | 18.61 | SDSSBOSSKDEXDQSOZVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0010+0015A | 00:10:26.509 | +00:15:31.98 | 4218-0576-55479 | BOSSJ0010+0012B | 00:10:16.491 | +00:12:27.63 | 4217-0933-55478 |  2.394 |  2.277 | 237.8 | 6653.979 | -1.00 |      8. | 19.86 |  0.00 |  0.00 |  0.00 | 19.49 | 19.41 | 19.02 | 18.40 |  0.00 |  0.00 |  0.00 | 18.11 | 17.98 | 17.57 | SDSSBOSSKDEXDQSOZVCVALLBOSS | SDSSBOSSXDQSOZMADDOXVHSVCVALLBOSS
BOSSJ0011+0258A | 00:11:19.830 | +02:58:39.51 | 4298-0706-55511 | BOSSJ0011+0258B | 00:11:23.262 | +02:58:24.89 | 4297-0056-55806 |  3.499 |  3.276 | 53.44 | 1786.619 | -1.00 |     39. | 20.99 |  0.00 |  0.00 |  0.00 | 20.52 | 20.55 | 20.45 | 21.03 |  0.00 |  0.00 |  0.00 | 20.51 | 20.62 | 20.46 | LRIS | LRIS
